# Outside Julian Assange's residence at the Ecuadorian Embassy
SSID, BSS, RSSI, Channel, Time
"SKY383CC", "0C:F9:C0:48:86:D6", "-72", "1", "16:35:27"
"SKY383CC", "0C:F9:C0:48:86:D6", "-72", "1", "16:35:35"
"SKY383CC", "0C:F9:C0:48:86:D6", "-83", "1", "16:35:38"
"4169736C696E6E", "F4:4E:05:EC:9B:7F", "-80", "132", "16:35:24"
"4169736C696E6E", "F4:4E:05:EC:9B:7F", "-80", "132", "16:35:27"
"4169736C696E6E", "F4:4E:05:EC:9B:7F", "-86", "132", "16:35:35"
"4169736C696E6E", "F4:4E:05:EC:9B:7F", "-86", "132", "16:35:38"
"BTHub5-C9NP", "00:62:2C:09:6C:35", "-79", "48", "16:35:24"
"BTHub5-C9NP", "00:62:2C:09:6C:35", "-79", "48", "16:35:27"
"BTHub5-C9NP", "00:62:2C:09:6C:35", "-86", "48", "16:35:35"
"BTHub5-C9NP", "00:62:2C:09:6C:35", "-86", "48", "16:35:38"
"", "F4:4E:05:EC:9B:7B", "-82", "132", "16:35:24"
"", "F4:4E:05:EC:9B:7B", "-82", "132", "16:35:27"
"", "F4:4E:05:EC:9B:7B", "-82", "132", "16:35:35"
"", "F4:4E:05:EC:9B:7B", "-82", "132", "16:35:38"
"BTWifi-X", "E2:91:F9:1D:D7:26", "-85", "6", "16:35:24"
"BTWifi-X", "E2:91:F9:1D:D7:26", "-85", "6", "16:35:27"
"BTWifi-X", "E2:91:F9:1D:D7:26", "-85", "6", "16:35:35"
"BTWifi-X", "E2:91:F9:1D:D7:26", "-85", "6", "16:35:38"
"", "DC:A5:F4:1A:DB:70", "-84", "11", "16:35:24"
"", "DC:A5:F4:1A:DB:70", "-84", "11", "16:35:27"
"", "DC:A5:F4:1A:DB:70", "-84", "11", "16:35:35"
"", "DC:A5:F4:1A:DB:70", "-84", "11", "16:35:38"
"PLUSNET-78X786", "44:E9:DD:C6:65:93", "-86", "11", "16:35:24"
"PLUSNET-78X786", "44:E9:DD:C6:65:93", "-83", "11", "16:35:35"
"PLUSNET-78X786", "44:E9:DD:C6:65:93", "-83", "11", "16:35:38"
"TNCAP13473B", "30:91:8F:13:47:3B", "-89", "1", "16:35:35"
"TNCAP13473B", "30:91:8F:13:47:3B", "-89", "1", "16:35:38"
"BTHub5-QWGH", "00:A4:23:02:7E:18", "-81", "11", "16:35:24"
"BTHub5-QWGH", "00:A4:23:02:7E:18", "-88", "11", "16:35:35"
"BTHub5-QWGH", "00:A4:23:02:7E:18", "-88", "11", "16:35:38"
"BTWifi-X", "B2:72:82:80:CD:8E", "-84", "6", "16:35:24"
"BTWifi-X", "B2:72:82:80:CD:8E", "-84", "6", "16:35:27"
"", "00:3A:7D:0D:A7:6F", "-85", "40", "16:35:24"
"", "00:3A:7D:0D:A7:6F", "-85", "40", "16:35:27"
"", "00:3A:7D:0D:A7:6F", "-85", "40", "16:35:35"
"", "00:3A:7D:0D:A7:6F", "-85", "40", "16:35:38"

